Desi Mehak,18211703,504
Shaina Chicken Corner,23522,505
Go Lebanese,23214,506
Raajbarir Khawa,21859,507
C/o. Bangali,18366914,508
Mughal Khaan,18323211,509
Wok King,18204258,510
18 James Long,18209848,511
Express Le Coffee,25478,512
Mini Hut,21723,513
The Auto Junc,18354592,514
Chicken King N Pizza Day,18175457,515
Cinnabon,18166888,516
Khawab,21727,517
Rendezvous - Monotel,22804,518
The Dugout,18343761,519
Chittaranjan Mistanna Bhandar,23680,520
Saffron - The Park,20849,521
Goutam's,22477,522
Shimmers,21595,523
The Belgian Bakery,23674,524
Keventers,18343753,525
Dum Pukht - ITC Sonar,21611,526
Don Giovanni's,21017,527
Kabuliwala,18382567,528
Manthan Songhai,23610,529
Rasoee Desi Kitchen,18414429,530
Pind Punjabi Dhaba,18343733,531
Momore,24662,532
Bhikharam Chandmal,23924,533
One Step Ahead,25148,534
Indthalia,20622,535
Bhim Chandra Nag,22080,536
Hongkong Express,21313,537
Bake Club,21635,538
Chacha's Hotel,21157,539
Ramakrishna Lunch Home,22010,540
The Fan's Club,18377107,541
The Scoop,20653,542
Barista Lavazza Espresso Bar,23360,543
Mirage - The Stadel,23923,544
Allen Kitchen,21429,545
Padmaparer Rannaghar,23180,546
Kurry Klub,21377,547
Dimpi,21996,548
Zaikebaaz,23512,549
La Griglia,22361,550
The Noodle Hub,18217433,551
Bhoomi - Vedic Village Spa Resort,21618,552
The Cafe Store,25631,553
Coffee N Mood,23873,554
Crossroad Crystal,21818,555
Canteen @ Byloom,22665,556
Glac?? Patisserie,18213985,557
Debonair,21552,558
Blue Lagoon,20085,559
Aaheli,21574,560
Banana Leaf,17983759,561
Suruchi Veg Restaurant,25712,562
Garden Cafe,20789,563
Badshah Bar & Restaurant,20765,564
Dalma,23237,565
Bedwin,21118,566
Piccadilly Square,25155,567
Spice Ocean,18287247,568
Nargis Restaurant,20359,569
Tangerine,20520,570
The 5sos Cafe,24574,571
Indthalia,20621,572
Only Alibaba Gold,24387,573
Yin Yang,21870,574
D Win Dragon,22446,575
Coffee World,18166920,576
Cremecup.in,18162656,577
Kowloon,20307,578
Jai Hind Dhaba,24428,579
Rahmania,20420,580
Calcutta Retro,23433,581
Cafe Treat - The Pride Hotels,21621,582
Orchid,21854,583
Addiction,21855,584
K2 The Restaurant,20911,585
The Good Old Days,18296324,586
Genuine Broaster Chicken,18386800,587
Design My Cake,18198655,588
Kwality,21716,589
Swissyum Concept Foods,25025,590
Pied Pipers Cafe,18296327,591
Little Pleasures,24513,592
Masala Wok By Red Hot Chilli Pepper,18377087,593
Orko'ss Restaurant - Regenta Orko'ss Hotel,24454,594
Icy Fusion,25623,595
Kebabish Grill India,25716,596
American Cave,18311131,597
Au Bon Pain,18162660,598
Afza,21425,599
Kurry Patta,18311146,600
Yagna - Vedic Village Spa Resort,21617,601
Caf?? Drifter,18377085,602
Eggytarrian,25710,603
Kookie Jar,21596,604
The Protein Bistro,18354579,605
Hanglaatherium,25634,606
Studio - The Pan-Asian Galerie - Novotel,17983801,607
Pabrai's Fresh and Naturelle Ice Cream,25651,608
Noodle MEE,24929,609
Mezban,20826,610
The Coffee Den,24843,611
Myx,24446,612
The Eye Within Club,24649,613
Thakroon,18380248,614
Calcutta Stories,18296368,615
Coffee N Mood,22140,616
Cheeni Kum Lounge & Bar,22096,617
Kalika,23223,618
Sanjha Chulha,18296356,619
Wokaholic,18368673,620
Bake o Cake,18162653,621
Bean's And Cream Cafe,25546,622
Silver Screen Asia,24998,623
Tinny Da Dhaba,21050,624
Anti Pasti: Multicuisine 24x7,18311162,625
Haji Ali,21995,626
6 Ballygunge Place - Gup Shup,18166908,627
Crimson Haze,18368688,628
La Patisserie and Deli - Taj Bengal,21474,629
Go Green,23595,630
Go Lebanese,23793,631
Maharaja,20864,632
F4U - Food for U,24655,633
Only 4 Chinese Gazab,25378,634
Anamika Roll Centre,22580,635
Shimla Biryani,25190,636
Nalin Chandra Das & Sons,22431,637
Xing,20756,638
Red Kitchen & Lounge,21352,639
Forever Yogurt,24546,640
Chinese Quisine,21241,641
Yummy Puds,18217861,642
Nu Wan Li,21070,643
Velvetiine,25620,644
Black Sky Bar - Aauris,18198682,645
The Biryani Company,23691,646
Rollick,18325258,647
Benfish,20770,648
Silver Grill,21171,649
Bistro Y,24830,650
Kafulok,20830,651
Indian Coffee House,21763,652
Steam & Fried,23940,653
Gunjan Chinese Food,22893,654
Sharma Tea,21137,655
Gangotri,21140,656
Saima,21316,657
Hangla's,18265465,658
Food Village,22674,659
Plush Lounge & Bar - Astor Hotel,21529,660
Mezze,23800,661
The Yellow Straw,24935,662
Chin Wah,23652,663
New Aahar Restaurant,21834,664
Friends' Pizza,18171057,665
New Cathay Restaurant and Bar,21579,666
Khanasutra - Park Prime,21620,667
BLU -  Aauris,18070826,668
Pawan Putra,24802,669
Tit Bits,20675,670
China Bite,23242,671
The New My Club,20920,672
Paris Cafe,18287249,673
Coffee World Restaurant,21812,674
The Yellow Straw,25516,675
Toaste Adda,24841,676
Fikar Not Foodies,18162690,677
The Cloud 9,18143263,678
Paradise,22437,679
Chopstick,20132,680
Cream Centre,17953898,681
Fillers,21759,682
The Shack Lounge,18224030,683
Ralli's,20809,684
The Tipsy Bull,18420386,685
Kuaizi 'n' Kadai,24343,686
Nafeel Restaurant,21863,687
Nalban Food Park- All Fish Restaurant,18325275,688
Hong Kong,21231,689
Das Cabin,23835,690
India Lord,21328,691
Cafe Bistro,24456,692
Hatari,21862,693
Chef Alladin,21967,694
Tongue Twister,21344,695
Extacy,21584,696
Kamdhenu's,25400,697
D -Talks Adda,18370526,698
Mr.Burger,18388305,699
The Super Snack Bar,20706,700
Golden Empire,22496,701
The Wall Express,18166910,702
Arun Tea Stall,22458,703
Tewari Sweets,22538,704
Radhu Babu's,22612,705
Sangu Valley,21286,706
D-Den,18134926,707
The Grub Club,21476,708
Shawarma Nation,25692,709
Sanjha Chulha,23853,710
Epicuisine,23981,711
Choc N Cheese,23085,712
Mandarin Restaurant,23606,713
Darbaar-E-Khaass,25227,714
Bakstage The Wine Room,24812,715
Foodie By Nature,18270238,716
Hindustan Sweets,22442,717
Honey Da Dhaba,18296333,718
Mehak-e-Punjab,20791,719
Indthalia,20624,720
Nandini,21736,721
Hao Chi,21485,722
Kalash - HHI,21356,723
La Komida,24444,724
Igloo Cafe & Ice Cream Parlour,22386,725
New Paul Dhaba,21288,726
Gourmet Bakers,18302162,727
Fresh Bake,18224054,728
VR1,18311150,729
Bay Leaf,20062,730
The Scoop,24531,731
Little India,23934,732
Mangio,21608,733
The Sugarr & Spice,20633,734
Heritage Karco,20817,735
Oceania,22534,736
The Guptas,20543,737
Bhooter Raja Dilo Bar,21435,738
Nepal Sweets,23392,739
Offside Sports Cafe,18377106,740
Stun the Sun,20619,741
THE FIREFLY,18270254,742
Lake Lite,21998,743
D Freakerrs,18162652,744
Fast Filling,24429,745
China Crown,23267,746
China Town,22531,747
China Pearl,21448,748
Hi Brew - Hotel Senses,24221,749
Bhikharam Chandmal,21824,750
Tulip's Global Cuisine,25232,751
Banchharam,22584,752
Khawab,20725,753
Tewari Brothers,22537,754
Hayat,18224067,755
Balaram Mullick & Radharaman Mullick Sweets,24736,756
Asia In Box,23865,757
Mouchak,22905,758
Banana Leaf,18410814,759
Trincas Tavern,20834,760
Illusion,21568,761
Penguin Restaurant,22552,762
Pou Hing,22024,763
Crystaline,20149,764
New United Cafe,24075,765
The Cric World,18017617,766
Afraa Deli,23787,767
The Mombasa,21933,768
Food Station,21049,769
Sare Chuattar,20691,770
Arshaan,18204257,771
Anir's,21055,772
Enamiah Restaurant & Caterer,18265446,773
Bibi of Taaja's,23219,774
Sree Hari Mistanna Bhandar,23456,775
Sher-e-Punjab,20464,776
New Silver Chimney,20478,777
Coffee,22007,778
Just Baked,20988,779
Canton Restaurant,21225,780
Blue Mug,18420517,781
Sharma Tea House,17983779,782
Maaya Bar - Swissotel Kolkata Neotia Vista,21500,783
The Super Snack Bar,21310,784
Singh N Ching,18224045,785
The Howrah Bridge,21475,786
Madras Restaurant,20763,787
Burnt Garlic,18414412,788
Chicago Pizza,24789,789
Pappadam,18414437,790
Gourmet Rasoi,22782,791
Golden Bowl,20652,792
Adda Bites,22854,793
Jimmy's Kitchen,21148,794
Amir Fast Food Centre,24009,795
Sutanuti Junction,23079,796
Baked & Fried,25474,797
Biscotti,20644,798
Tandoori Delights,21180,799
Haji Ali,25091,800
Desi Cuisine,23218,801
Annaras,22460,802
Frosted Delight,18252405,803
New Madras Tiffin,23847,804
Rahim's,25684,805
The Chinese Pavilion,20127,806
Naba Malancha,23683,807
Palki,20393,808
Gourmet Hut,20693,809
Scarlet - Aauris,18070812,810
Zaika,21484,811
Sip & Sandwich,21986,812
Anarkali Restaurant,23353,813
Raviz,23662,814
Fuel Resto Bar- The Pride Hotels,23246,815
Chicago Pizza,18296349,816
Golden City,22139,817
Plate-de-Poultry,24884,818
Multicuisine - The Big Boss,25723,819
Ice & Spice,21341,820
Feast,21117,821
Chatar Patar,24831,822
Deraa The Afghan Rasoi,18398881,823
Hotel Broadway,21208,824
Mustard,21152,825
Sholoana Bangali,21306,826
Pao Chein,22221,827
D'Ley,24680,828
Masala Kitchen,23801,829
Xspicy - Indismart Hotel,21570,830
Republic of China,22819,831
Prince Fast Food Centre,20612,832
Ar-Han-Thai,23170,833
Auntie Annes,18219915,834
Cake and Bake,18318768,835
Urban Kitchen,18240469,836
Vegout,24587,837
Swad,18162667,838
Shruti's Creations,25065,839
Suresh Mistanna Bhander,23904,840
Penguin Dhaba,23114,841
NU Variety,21988,842
Regent Restaurant,22372,843
Calif,18287248,844
Nalin Chandra Das & Sons,23042,845
Hide Cafe,22421,846
Kafe Bindass,22175,847
Crossroad Crystal,18237073,848
New Saurashtra Nimki House,23014,849
Delice - Novotel,24838,850
Krazy Biryani,25597,851
Taste Buds,25192,852
THE FIREFLY,18017651,853
Chineese Quisine,21420,854
Silver Sand,22168,855
Choco Lust,24527,856
Katerpillar Cafe,22709,857
Made In Oven,25083,858
Shudh Veg Food Court,25711,859
Yin Yang,23432,860
Epicuisine,23839,861
Hong Kong,21232,862
Ranjan's,22234,863
Baskin Robbins,24915,864
Dumpling Momo,24003,865
Kim Fa,23096,866
Bedwin,21178,867
T.T.K. Restora,21282,868
Pepperz,22130,869
Fork & Dagger,18390677,870
Nirvana - Park Plaza,22809,871
Spice Project,25728,872
Yogen Fruz,21893,873
V Cafe,21830,874
Mouchak,23568,875
Icy Fusion,18237045,876
The Cake Counter,18273044,877
Seedz Beanz N Aroma,21675,878
The Village,18017635,879
Capnil Kitchen Restaurant,21718,880
Delish Dhaba,18377116,881
Cafeccino,23914,882
Dawat Restaurant,24572,883
Azad Hind,23430,884
Dhaka Biriyani House & Restaurant,23438,885
Mishra's Restaurant,23416,886
Sumo Dough,18420482,887
An Idea,18016829,888
Eat-O-Gito,25562,889
Dark Knight,18249166,890
Dehat,20761,891
Saffron Food Cafe,18213954,892
Wabi Sabi,18420366,893
Goutam's,23728,894
Chill Maar,24945,895
Narayan Mistanna Bhandar,24336,896
Sharma Snacks Center,23399,897
Home Slice,25563,898
Delyts,25603,899
Blue Heaven,22770,900
The Nest Cafe,18296363,901
Amber Cafe,21712,902
Raja Bhat Khawa,18217482,903
Indra Mahal,21161,904
Khana Khazana,21455,905
Bookhara,20682,906
Hot Wok Village,23548,907
Shanghai Street,22162,908
To Die For,18361643,909
Cantonese Restaurant,18386814,910
The Drive Inn,20177,911
Schezwan Pepper,24433,912
Jimmy's Kitchen,23233,913
Ira Lifestyle Cafe - Pipal Tree Hotel,24679,914
Haan 'D' Biryani,25639,915
Jugal's,24425,916
Mio Amore,25240,917
Koley's Kitchen,23644,918
Ganguram & Sons,23722,919
Darao Pothik Bor,18398882,920
Shivam Family Restro,22420,921
Caf?? Ekante Houseboat Restaurant,18311125,922
Kwality Wall's Swirl's,24059,923
Host,18386820,924
Eighty8+ Kafe,18249143,925
Dhaka Biriyani House & Restaurant,21985,926
Bhaatti-E-Swaad-E-Punjab,22462,927
Sweet N Sour,20510,928
A Sweet Surrrender,23254,929
Aami Bangali,24913,930
Penguin Inn Pvt Ltd Restaurant,23113,931
Nav Aminia,18388188,932
Krishna Snacks Bar,21572,933
Celebrations,21513,934
Skylark,21888,935
Chocotarian,22991,936
Graham's Kitchen,21234,937
Saurav's,21271,938
Square Club,24984,939
Pleasure,24281,940
Zaika Bar and Restaurant,21526,941
Ivory,23590,942
Cafe Loopy Latte,21990,943
